name,age,team,pace,shooting,passing,dribbling,position,direction,joined,contract,preferred_foot,international_rep,wage
João Pedro Cavaco Cancelo,27,Portugal,85,71,83,84,Defender,Left,2019-08-07,2025,Right,3,185000
Aymeric Laporte,27,Spain,63,50,72,69,Defender,Left,2018-01-30,2024,Left,3,185000
Kingsley Junior Coman,25,France,93,76,79,88,Substitute,Pending,2015-08-30,2023,Right,4,120000
Bernardo Mota Veiga de Carvalho e Silva,26,Portugal,80,76,83,91,Substitute,Pending,2017-07-01,2025,Left,2,200000
Marcos Llorente Moreno,26,Spain,88,80,81,82,Midfielder,Right,2019-07-01,2027,Right,3,95000
Rodrigo Hernández Cascante,25,Spain,61,70,77,78,Midfielder,Center,2019-07-04,2024,Right,3,175000
Milan Škriniar,26,Slovakia,80,41,53,69,Defender,Right,2017-07-07,2023,Right,3,150000
Alejandro Darío Gómez,33,Argentina,87,78,84,87,Midfielder,Left,2021-01-26,2024,Right,3,51000
Thiago Emiliano da Silva,36,Brazil,53,54,72,72,Substitute,Pending,2020-08-28,2022,Right,4,105000
David Josué Jiménez Silva,35,Spain,63,74,87,87,Midfielder,Center,2020-08-17,2022,Left,4,44000
Edinson Roberto Cavani Gómez,34,Uruguay,66,86,70,76,Substitute,Pending,2020-10-05,2022,Right,4,190000
Eden Hazard,30,Belgium,84,80,82,88,Winger,Left,2019-07-01,2024,Right,4,240000
Leonardo Bonucci,34,Italy,64,58,69,72,Defender,Right,2018-08-02,2024,Right,3,110000
İlkay Gündoğan,30,Germany,65,80,85,86,Midfielder,Left,2016-07-01,2023,Right,3,185000
Marco Reus,32,Germany,73,84,84,85,Midfielder,Center,2012-07-01,2023,Right,4,95000
Kyle Walker,31,England,92,63,76,78,Defender,Right,2017-07-14,2024,Right,3,170000
Pierre-Emerick Emiliano François Aubameyang,32,Gabon,89,85,75,80,Striker,Center,2018-01-31,2023,Right,3,145000
Jorge Resurrección Merodio,29,Spain,70,75,85,81,Midfielder,Right,2011-01-01,2024,Right,3,90000
Stefan de Vrij,29,Netherlands,72,41,64,70,Defender,Center,2018-07-01,2023,Right,3,145000
Roberto Firmino Barbosa de Oliveira,29,Brazil,77,78,79,89,Forward,Center,2015-07-06,2023,Right,3,185000
Memphis Depay,27,Netherlands,82,83,82,84,Winger,Left,2021-07-01,2023,Right,3,220000
Daniel Carvajal Ramos,29,Spain,80,54,78,80,Defender,Right,2013-07-05,2025,Right,3,210000
Luiz Frello Filho Jorge,29,Italy,55,67,86,81,Midfielder,Left,2018-07-16,2023,Right,2,170000
Serge David Gnabry,25,Germany,83,84,79,86,Midfielder,Right,2017-07-01,2023,Right,4,110000
Sergej Milinković-Savić,26,Serbia,68,79,80,81,Midfielder,Right,2015-08-06,2024,Right,3,100000
Onyinye Wilfred Ndidi,24,Nigeria,67,62,69,74,Midfielder,Left,2017-01-05,2024,Right,1,120000
Mikel Oyarzabal Ugarte,24,Spain,82,82,81,84,Winger,Left,2014-07-01,2024,Left,2,57000
Lautaro Javier Martínez,23,Argentina,84,81,72,85,Striker,Left,2018-07-05,2023,Right,3,145000
Marcus Rashford,23,England,90,84,79,84,Substitute,Pending,2014-07-01,2023,Right,3,150000
Achraf Hakimi Mouh,22,Morocco,95,71,78,83,Defender,Right,2021-07-06,2026,Right,2,100000
Matthijs de Ligt,21,Netherlands,73,59,60,69,Defender,Left,2019-07-18,2024,Right,3,81000
Zlatan Ibrahimović,39,Sweden,65,87,78,79,Substitute,Pending,2020-01-02,2022,Right,5,51000
Jesús Navas González,35,Spain,87,69,81,83,Defender,Right,2017-07-28,2024,Right,2,30000
Gerard Piqué Bernabéu,34,Spain,58,61,71,68,Defender,Left,2008-07-01,2024,Right,4,175000
Dries Mertens,34,Belgium,85,82,80,88,Substitute,Pending,2013-07-01,2022,Right,3,105000
Georginio Wijnaldum,30,Netherlands,77,75,80,86,Midfielder,Right,2021-07-01,2024,Right,3,115000
Jordan Henderson,31,England,66,74,83,79,Midfielder,Right,2011-06-09,2025,Right,3,140000
Fernando Francisco Reges,33,Brazil,66,62,75,74,Midfielder,Center,2019-07-12,2022,Right,2,43000
Kieran Trippier,30,England,73,63,82,77,Substitute,Pending,2019-07-17,2023,Right,2,74000
Iago Aspas Juncal,33,Spain,82,85,79,86,Striker,Right,2015-07-01,2023,Left,2,46000
David Olatukunbo Alaba,29,Austria,77,70,81,80,Defender,Left,2021-07-01,2026,Left,4,195000
Luis Alberto Romero Alconchel,28,Spain,60,76,86,84,Midfielder,Left,2016-08-31,2025,Right,2,95000
Dušan Tadić,32,Serbia,69,81,85,85,Winger,Left,2018-07-03,2024,Left,3,32000
Wissam Ben Yedder,30,France,82,84,77,87,Striker,Center,2019-08-14,2024,Right,2,88000
Lucas Digne,27,France,79,69,80,80,Defender,Left,2018-08-01,2023,Left,2,110000
Josip Iličić,33,Slovenia,75,86,84,86,Substitute,Pending,2017-07-05,2022,Left,3,84000
Harry Maguire,28,England,50,55,69,70,Defender,Left,2019-08-05,2024,Right,3,155000
Stefan Savić,30,Montenegro,64,35,57,58,Defender,Right,2015-07-20,2024,Right,2,74000
Marcel Sabitzer,27,Austria,78,84,81,80,Substitute,Pending,2021-08-30,2025,Right,3,110000
Luke Shaw,25,England,79,54,79,80,Defender,Left,2014-06-27,2023,Left,2,140000
Jack Grealish,25,England,80,76,83,88,Winger,Left,2021-08-05,2027,Right,3,180000
Matthias Ginter,27,Germany,62,58,72,66,Defender,Right,2017-07-04,2022,Right,3,45000
Felipe Augusto de Almeida Monteiro,32,Brazil,61,41,58,62,Substitute,Pending,2019-07-01,2022,Right,3,74000
Yannick Ferreira Carrasco,27,Belgium,88,81,78,85,Midfielder,Left,2020-09-08,2024,Right,3,81000
Filip Kostić,28,Serbia,88,77,82,83,Midfielder,Left,2019-05-17,2023,Left,3,52000
Hakim Ziyech,28,Morocco,78,76,87,83,Substitute,Pending,2020-07-01,2025,Left,3,170000
Raphaël Adelino José Guerreiro,27,Portugal,75,77,85,88,Defender,Left,2016-07-01,2023,Left,3,79000
Ricardo Domingos Barbosa Pereira,27,Portugal,83,67,78,82,Defender,Right,2018-06-09,2023,Right,3,130000
Timo Werner,25,Germany,91,81,70,82,Substitute,Pending,2020-07-01,2025,Right,3,155000
Marcelo Brozović,28,Croatia,69,74,80,79,Midfielder,Center,2016-07-01,2022,Right,3,130000
Youri Tielemans,24,Belgium,63,79,86,80,Midfielder,Right,2019-07-08,2023,Right,2,125000
José María Giménez de Vargas,26,Uruguay,69,45,57,59,Defender,Center,2013-07-01,2025,Right,2,74000
Nabil Fekir,27,France,83,83,82,87,Midfielder,Center,2019-07-23,2023,Left,3,42000
Leroy Aziz Sané,25,Germany,90,81,79,85,Midfielder,Left,2020-07-15,2025,Left,3,105000
Nicolò Barella,24,Italy,78,71,79,86,Midfielder,Right,2020-09-01,2024,Right,3,120000
Marcos Javier Acuña,29,Argentina,76,74,82,87,Defender,Left,2020-09-14,2024,Left,2,45000
André Miguel Valente da Silva,25,Portugal,74,84,69,83,Striker,Center,2021-07-02,2026,Right,3,110000
Franck Yannick Kessié,24,Côte d'Ivoire,78,74,74,80,Midfielder,Left,2019-07-01,2022,Right,3,51000
Theo Bernard François Hernández,23,France,93,71,76,81,Defender,Left,2019-07-05,2024,Left,3,51000
Kai Lukas Havertz,22,Germany,82,78,79,84,Substitute,Pending,2020-09-04,2025,Left,3,130000
Philip Foden,21,England,84,78,80,87,Substitute,Pending,2016-07-01,2024,Left,3,125000
Fernando Luiz Rosa,36,Brazil,59,72,75,78,Substitute,Pending,2013-07-01,2022,Right,3,100000
Carlos Alberto Vela Garrido,32,Mexico,80,82,78,84,Winger,Right,2018-01-01,2022,Left,3,17000
Axel Witsel,32,Belgium,61,72,81,79,Substitute,Pending,2018-08-17,2022,Right,3,72000
Simon Thorup Kjær,32,Denmark,67,55,64,59,Defender,Right,2020-01-13,2022,Right,3,54000
Edin Džeko,35,Bosnia and Herzegovina,66,83,72,78,Striker,Right,2021-08-14,2023,Right,3,105000
Jérôme Boateng,32,Germany,72,50,73,67,Reserve,Pending,2021-09-01,2023,Right,4,81000
César Azpilicueta Tanco,31,Spain,66,55,76,72,Defender,Right,2012-08-24,2022,Right,3,125000
José Paulo Bezzera Maciel Júnior,32,Brazil,72,81,77,81,Midfielder,Left,2021-07-22,2024,Right,3,61000
Iker Muniain Goñi,28,Spain,81,76,82,87,Midfielder,Left,2009-08-01,2024,Right,2,44000
Sergio Canales Madrazo,30,Spain,83,80,85,82,Midfielder,Left,2018-07-03,2023,Left,2,38000
Alex Sandro Lobo Silva,30,Brazil,81,65,77,79,Defender,Left,2015-08-21,2023,Left,3,95000
Konstantinos Manolas,30,Greece,81,25,44,62,Defender,Right,2019-07-02,2024,Right,3,80000
Henrikh Mkhitaryan,32,Armenia,85,80,79,83,Midfielder,Left,2020-08-01,2022,Right,3,82000
Juan Guillermo Cuadrado Bello,33,Colombia,90,75,77,87,Midfielder,Right,2015-02-02,2022,Right,3,95000
Joël Andre Job Matip,29,Cameroon,58,46,68,68,Defender,Right,2016-07-01,2024,Right,2,130000
Sebastián Coates Nión,30,Uruguay,68,49,55,63,Defender,Center,2017-01-31,2023,Right,3,21000
Francesco Acerbi,33,Italy,63,50,62,64,Defender,Left,2018-07-11,2023,Left,3,75000
Allan Marques Loureiro,30,Brazil,72,71,77,82,Midfielder,Left,2020-09-05,2023,Right,2,100000
Kevin Volland,28,Germany,73,85,79,80,Forward,Right,2020-09-02,2024,Left,2,83000
Mauro Emanuel Icardi Rivero,28,Argentina,69,83,65,77,Substitute,Pending,2020-06-08,2024,Right,3,120000
Leonardo Spinazzola,28,Italy,92,64,73,80,Reserve,Pending,2019-07-01,2024,Right,3,72000
John Stones,27,England,70,51,71,74,Substitute,Pending,2016-08-09,2026,Right,2,140000
Raúl Alonso Jiménez Rodríguez,30,Mexico,72,82,76,81,Striker,Center,2019-07-01,2024,Right,3,120000
Antonio Rüdiger,28,Germany,75,43,68,64,Defender,Left,2017-07-09,2022,Right,2,130000
Lucas Ariel Ocampos,26,Argentina,81,84,78,83,Winger,Left,2019-07-03,2024,Right,2,46000
Mateo Kovačić,27,Croatia,70,69,83,88,Substitute,Pending,2019-07-01,2024,Right,3,135000
Thomas Partey,28,Ghana,69,71,82,81,Midfielder,Right,2020-10-05,2024,Right,2,115000
José Luís Gayà Peña,26,Spain,83,61,77,80,Defender,Left,2012-09-13,2023,Left,3,48000
Thomas Lemar,25,France,82,76,82,86,Midfielder,Left,2018-07-01,2023,Left,3,71000
Pierre-Emile Kordt Højbjerg,25,Denmark,60,71,76,76,Midfielder,Right,2020-08-11,2025,Right,2,105000
Ángel Martín Correa,26,Argentina,85,83,78,87,Substitute,Pending,2014-12-13,2024,Right,2,80000
Duván Esteban Zapata Banguera,30,Colombia,80,81,61,78,Striker,Center,2020-01-17,2023,Right,2,77000
Andrej Kramarić,30,Croatia,71,86,76,86,Midfielder,Center,2015-01-16,2022,Right,3,59000
José Ángel Esmoris Tasende,24,Spain,78,71,82,84,Defender,Left,2021-02-12,2025,Left,2,77000
Lucas François Bernard Hernández Pi,25,France,77,54,68,71,Substitute,Pending,2019-07-01,2024,Left,3,85000
Marco Asensio Willemsen,25,Spain,82,80,81,83,Substitute,Pending,2015-07-01,2023,Left,3,190000
Wout Weghorst,28,Netherlands,63,83,59,70,Striker,Center,2018-07-01,2023,Right,2,95000
Robin Everardus Gosens,26,Germany,82,75,74,79,Midfielder,Left,2017-07-01,2023,Left,3,65000
Mikel Merino Zazón,25,Spain,74,78,81,82,Midfielder,Right,2018-07-12,2025,Left,1,47000
Presnel Kimpembe,25,France,81,42,68,70,Substitute,Pending,2015-07-01,2024,Left,3,90000
Ferland Mendy,26,France,92,64,76,79,Substitute,Pending,2019-07-01,2025,Left,1,170000
Aaron Wan-Bissaka,23,England,85,52,69,79,Defender,Right,2019-06-29,2024,Right,2,115000
Ronaldo Jailson Cabrais Petri,29,Brazil,88,77,83,84,Midfielder,Center,2021-07-08,2024,Right,1,49000
Arthur Henrique Ramos de Oliveira Melo,24,Brazil,69,67,83,88,Substitute,Pending,2020-09-01,2024,Right,2,90000
Gabriel Fernando de Jesus,24,Brazil,84,81,72,86,Substitute,Pending,2016-08-03,2023,Right,2,150000
Ousmane Dembélé,24,France,93,77,77,86,Winger,Right,2017-08-28,2022,Left,3,165000
Mason Mount,22,England,74,79,84,83,Winger,Right,2016-01-10,2024,Right,3,120000
Federico Santiago Valverde Dipetta,22,Uruguay,86,74,78,79,Substitute,Pending,2016-07-22,2027,Right,1,160000
Jules Koundé,22,France,81,45,64,72,Defender,Right,2019-07-03,2024,Right,2,33000
João Félix Sequeira,21,Portugal,82,79,76,86,Substitute,Pending,2019-07-03,2026,Right,2,61000
Kléper Laveran de Lima Ferreira,38,Portugal,80,51,60,61,Defender,Left,2019-01-08,2023,Right,4,14000
Raúl Albiol Tortajada,35,Spain,40,41,62,63,Defender,Right,2019-07-04,2022,Right,3,30000
Ivan Rakitić,33,Croatia,57,79,85,78,Substitute,Pending,2020-09-01,2024,Right,3,39000
Gareth Frank Bale,31,Wales,82,84,82,80,Winger,Right,2013-09-01,2022,Left,4,170000
Éver Maximiliano David Banega,33,Argentina,62,75,84,82,Midfielder,Center,2020-08-22,2023,Right,3,46000
Yuri Berchiche Izeta,31,Spain,83,68,76,76,Substitute,Pending,2018-07-02,2022,Left,2,35000
Lars Edi Stindl,32,Germany,61,84,81,81,Midfielder,Center,2015-07-01,2023,Right,3,41000
Oscar dos Santos Emboaba Júnior,29,Brazil,78,79,82,82,Midfielder,Center,2017-01-01,2024,Right,3,38000
Philippe Coutinho Correia,29,Brazil,69,79,80,88,Substitute,Pending,2018-01-06,2023,Right,4,165000
Christian Dannemann Eriksen,29,Denmark,62,78,88,81,Reserve,Pending,2020-01-28,2024,Right,3,120000
Daley Blind,31,Netherlands,45,64,82,79,Defender,Left,2018-07-17,2023,Left,3,23000
Mario Götze,29,Germany,68,75,83,84,Midfielder,Center,2020-10-06,2024,Right,4,29000
Jesús Manuel Corona Ruíz,28,Mexico,83,67,79,85,Substitute,Pending,2015-08-31,2022,Right,3,22000
Alexandre Lacazette,30,France,75,82,74,82,Substitute,Pending,2017-07-05,2022,Right,3,110000
Idrissa Gana Gueye,31,Senegal,69,62,71,78,Midfielder,Center,2019-07-30,2023,Right,2,88000
Mário Figueira Fernandes,30,Russia,82,61,74,78,Defender,Right,2012-07-01,2024,Right,2,57000
Francisco Román Alarcón Suárez,29,Spain,66,75,80,88,Substitute,Pending,2013-07-03,2022,Right,3,175000
Wilfried Zaha,28,Côte d'Ivoire,89,77,73,87,Winger,Right,2015-02-02,2023,Right,2,85000
Luis Fernando Muriel Fruto,30,Colombia,89,83,74,86,Substitute,Pending,2019-07-01,2024,Right,2,70000
José Ángel Gómez Campaña,28,Spain,68,74,83,82,Midfielder,Left,2016-08-11,2023,Right,1,43000
Gabriel Armando de Abreu,30,Brazil,67,49,71,65,Defender,Right,2017-08-18,2024,Right,2,44000
Jordan Veretout,28,France,77,75,77,79,Midfielder,Left,2019-07-20,2024,Right,2,66000
Jesús Joaquín Fernández Sáez de la Torre,27,Spain,76,76,82,85,Winger,Right,2020-07-21,2025,Left,2,42000
Thorgan Hazard,28,Belgium,80,76,80,85,Substitute,Pending,2019-07-01,2024,Right,2,75000
Juan Bernat Velasco,28,Spain,82,65,78,82,Defender,Left,2018-08-31,2025,Left,2,90000
Cristian Portugués Manzanera,29,Spain,90,78,77,79,Substitute,Pending,2019-07-07,2024,Right,1,51000
Hakan Çalhanoğlu,27,Turkey,67,78,84,85,Midfielder,Left,2021-07-01,2024,Right,3,115000
Emre Can,27,Germany,78,78,78,80,Substitute,Pending,2020-02-18,2024,Right,3,72000
Marten Elco de Roon,30,Netherlands,66,68,71,73,Midfielder,Right,2017-08-11,2024,Right,3,59000
Alejandro Grimaldo García,25,Spain,87,65,81,83,Defender,Left,2016-01-04,2023,Left,3,18000
Alessio Romagnoli,26,Italy,68,40,56,68,Substitute,Pending,2015-08-11,2022,Left,2,49000
Domenico Berardi,26,Italy,79,80,81,85,Midfielder,Right,2012-07-01,2024,Left,2,51000
Nicolás Alejandro Tagliafico,28,Argentina,80,55,73,76,Substitute,Pending,2018-01-05,2023,Left,3,24000
Niklas Süle,25,Germany,65,42,59,51,Defender,Left,2017-07-01,2022,Right,3,78000
Alex Nicolao Telles,28,Brazil,83,73,82,78,Substitute,Pending,2020-10-05,2024,Left,3,130000
Anderson Souza Conceição,27,Brazil,80,83,81,83,Midfielder,Center,2021-06-26,2024,Left,2,61000
Rodrigo Javier De Paul,27,Argentina,78,76,80,82,Substitute,Pending,2021-07-12,2026,Right,1,68000
Rafael Alexandre Fernandes Ferreira da Silva,28,Portugal,94,73,74,86,Midfielder,Right,2016-08-31,2024,Right,2,22000
Diego Carlos Santos Silva,28,Brazil,76,47,63,68,Defender,Left,2019-07-01,2024,Right,2,37000
Ante Rebić,27,Croatia,86,83,75,81,Midfielder,Left,2020-09-12,2025,Right,1,54000
Clément Nicolas Laurent Lenglet,26,France,72,45,67,66,Substitute,Pending,2018-07-12,2026,Left,2,145000
James Maddison,24,England,75,78,84,84,Midfielder,Center,2018-06-20,2024,Right,1,100000
Manuel Locatelli,23,Italy,61,72,79,77,Midfielder,Right,2021-08-19,2023,Right,2,74000
Martin Ødegaard,22,Norway,77,74,83,84,Midfielder,Center,2021-08-20,2026,Left,3,89000
Rúben Diogo da Silva Neves,24,Portugal,59,75,85,77,Midfielder,Right,2017-07-08,2024,Right,2,89000
Diogo José Teixeira da Silva,24,Portugal,84,81,73,85,Substitute,Pending,2020-09-19,2025,Right,2,120000
Joe Gomez,24,England,81,30,66,69,Substitute,Pending,2015-06-20,2024,Right,2,100000
Fabián Ruiz Peña,25,Spain,63,78,79,82,Midfielder,Right,2018-07-05,2023,Left,2,77000
Christian Mate Pulisic,22,United States,89,70,73,86,Winger,Left,2019-01-02,2024,Right,3,120000
João Maria Lobo Alves Palhinha Gonçalves,25,Portugal,60,65,70,72,Midfielder,Left,2015-07-01,2025,Right,1,18000
Dayotchanculle Oswald Upamecano,22,France,81,43,62,68,Defender,Right,2021-07-05,2026,Right,2,70000
Mario Hermoso Canseco,26,Spain,75,49,72,71,Defender,Left,2019-07-18,2024,Left,1,62000
Leon Bailey Butler,23,Jamaica,93,78,74,84,Substitute,Pending,2021-08-04,2025,Left,3,75000
Ben Chilwell,24,England,76,53,77,78,Substitute,Pending,2020-08-26,2025,Left,2,100000
Josué Durval Chiamulera Vaz,29,Brazil,78,43,56,64,Defender,Right,2021-07-08,2024,Right,1,41000
Richarlison de Andrade,24,Brazil,83,78,73,83,Midfielder,Left,2018-07-24,2024,Right,3,100000
Denzel Justus Morris Dumfries,25,Netherlands,80,61,66,72,Substitute,Pending,2021-08-15,2025,Right,3,100000
Raphael Dias Belloli,24,Brazil,91,76,76,84,Midfielder,Right,2020-10-06,2024,Left,2,89000
Alexander Isak,21,Sweden,84,82,68,79,Striker,Center,2019-07-01,2026,Right,2,37000
Declan Rice,22,England,66,53,71,74,Midfielder,Left,2016-06-29,2024,Right,1,69000
Alphonso Boyle Davies,20,Canada,96,67,71,82,Defender,Left,2019-01-01,2025,Left,3,59000
Florian Christian Neuhaus,24,Germany,64,72,79,82,Midfielder,Left,2017-07-01,2024,Right,2,36000
Youssef En-Nesyri,24,Morocco,78,83,58,78,Striker,Center,2020-01-16,2025,Left,2,37000
Tanguy Ndombèlé Alvaro,24,France,71,72,81,88,Substitute,Pending,2019-07-02,2024,Right,1,95000
Tomáš Souček,26,Czech Republic,64,72,74,74,Midfielder,Right,2020-07-27,2024,Right,1,81000
Éder Gabriel Militão,23,Brazil,83,50,69,71,Defender,Right,2019-07-01,2025,Right,2,130000
Ferran Torres García,21,Spain,82,79,78,82,Striker,Center,2020-08-04,2025,Right,1,120000
Pau Francisco Torres,24,Spain,71,38,67,70,Substitute,Pending,2016-07-01,2024,Left,2,35000
Daniel Olmo Carvajal,23,Spain,67,76,81,86,Substitute,Pending,2020-01-25,2024,Right,3,78000
Joaquín Sánchez Rodríguez,39,Spain,68,80,84,81,Midfielder,Right,2015-09-01,2022,Right,2,23000
Burak Yılmaz,35,Turkey,79,83,69,73,Striker,Left,2020-08-01,2022,Right,2,39000
Luís Carlos Almeida da Cunha,34,Portugal,70,77,81,85,Striker,Center,2019-02-19,2021,Right,4,14000
André-Pierre Christian Gignac,35,France,68,83,73,75,Striker,Right,2015-06-18,2024,Right,1,50000
Héctor Miguel Herrera López,31,Mexico,70,75,76,76,Substitute,Pending,2019-07-03,2022,Right,3,63000
Gonzalo Gerardo Higuaín,33,Argentina,58,84,71,78,Striker,Center,2020-09-18,2022,Right,4,14000
José Miguel da Rocha Fonte,37,Portugal,32,46,62,63,Defender,Right,2018-07-15,2022,Right,3,30000
Jan Vertonghen,34,Belgium,76,62,72,67,Defender,Left,2020-08-14,2023,Left,3,18000
Lucas Pezzini Leiva,34,Brazil,56,65,73,76,Midfielder,Center,2017-07-18,2022,Right,3,64000
Ivan Perišić,32,Croatia,81,79,76,79,Midfielder,Left,2015-09-01,2022,Left,3,105000
Arturo Erasmo Vidal Pardo,34,Chile,65,79,79,79,Substitute,Pending,2020-09-22,2022,Right,4,105000
Max Bennet Kruse,33,Germany,64,81,81,82,Striker,Left,2020-08-06,2022,Left,2,45000
Marko Arnautović,32,Austria,79,81,79,78,Striker,Center,2021-08-02,2024,Right,3,48000
Marlos Romero Bonfim,33,Ukraine,79,76,78,86,Midfielder,Right,2014-07-04,2021,Left,2,2000
Benjamin André,30,France,67,64,74,75,Midfielder,Right,2019-07-17,2023,Right,2,43000
Nicolás Hernán Gonzalo Otamendi,33,Argentina,63,57,62,59,Defender,Center,2020-09-29,2023,Right,3,18000
Thomas Joseph Delaney,29,Denmark,75,71,74,74,Substitute,Pending,2021-08-25,2025,Left,2,34000
Andy Delort,29,Algeria,84,82,73,75,Substitute,Pending,2021-08-28,2024,Right,2,49000
Kevin Kampl,30,Slovenia,70,67,81,85,Midfielder,Left,2017-08-31,2023,Right,2,83000
Daniel William John Ings,28,England,79,84,70,80,Striker,Center,2021-08-04,2024,Right,1,90000
Luís Miguel Afonso Fernandes,31,Portugal,75,77,81,82,Substitute,Pending,2013-07-30,2023,Right,3,19000
Jonathan Viera Ramos,31,Spain,82,75,79,82,Midfielder,Center,2021-08-23,2026,Right,2,15000
