nombre,edad,seleccion,posicion
Memphis Depay,27,Netherlands,Winger
Daniel Carvajal Ramos,29,Spain,Defender
Luiz Frello Filho Jorge,29,Italy,Midfielder
Serge David Gnabry,25,Germany,Midfielder
Sergej Milinković-Savić,26,Serbia,Midfielder
Onyinye Wilfred Ndidi,24,Nigeria,Midfielder
Mikel Oyarzabal Ugarte,24,Spain,Winger
Lautaro Javier Martínez,23,Argentina,Striker
Marcus Rashford,23,England,Substitute
Achraf Hakimi Mouh,22,Morocco,Defender
Matthijs de Ligt,21,Netherlands,Defender
Zlatan Ibrahimović,39,Sweden,Substitute
Jesús Navas González,35,Spain,Defender
Gerard Piqué Bernabéu,34,Spain,Defender
Dries Mertens,34,Belgium,Substitute
Georginio Wijnaldum,30,Netherlands,Midfielder
Jordan Henderson,31,England,Midfielder
Fernando Francisco Reges,33,Brazil,Midfielder
Kieran Trippier,30,England,Substitute
Iago Aspas Juncal,33,Spain,Striker
David Olatukunbo Alaba,29,Austria,Defender
Luis Alberto Romero Alconchel,28,Spain,Midfielder
Dušan Tadić,32,Serbia,Winger
Wissam Ben Yedder,30,France,Striker
Lucas Digne,27,France,Defender
Josip Iličić,33,Slovenia,Substitute
Harry Maguire,28,England,Defender
Stefan Savić,30,Montenegro,Defender
Marcel Sabitzer,27,Austria,Substitute
Luke Shaw,25,England,Defender
Jack Grealish,25,England,Winger
Matthias Ginter,27,Germany,Defender
Felipe Augusto de Almeida Monteiro,32,Brazil,Substitute
Yannick Ferreira Carrasco,27,Belgium,Midfielder
Filip Kostić,28,Serbia,Midfielder
Hakim Ziyech,28,Morocco,Substitute
Raphaël Adelino José Guerreiro,27,Portugal,Defender
Ricardo Domingos Barbosa Pereira,27,Portugal,Defender
Timo Werner,25,Germany,Substitute
Marcelo Brozović,28,Croatia,Midfielder
Youri Tielemans,24,Belgium,Midfielder
José María Giménez de Vargas,26,Uruguay,Defender
Nabil Fekir,27,France,Midfielder
Leroy Aziz Sané,25,Germany,Midfielder
Nicolò Barella,24,Italy,Midfielder
Marcos Javier Acuña,29,Argentina,Defender
André Miguel Valente da Silva,25,Portugal,Striker
Franck Yannick Kessié,24,Côte d'Ivoire,Midfielder
Theo Bernard François Hernández,23,France,Defender
Kai Lukas Havertz,22,Germany,Substitute
Philip Foden,21,England,Substitute
Fernando Luiz Rosa,36,Brazil,Substitute
Carlos Alberto Vela Garrido,32,Mexico,Winger
Axel Witsel,32,Belgium,Substitute
Simon Thorup Kjær,32,Denmark,Defender
Edin Džeko,35,Bosnia and Herzegovina,Striker
Jérôme Boateng,32,Germany,Reserve
César Azpilicueta Tanco,31,Spain,Defender
José Paulo Bezzera Maciel Júnior,32,Brazil,Midfielder
Iker Muniain Goñi,28,Spain,Midfielder
Sergio Canales Madrazo,30,Spain,Midfielder
Alex Sandro Lobo Silva,30,Brazil,Defender
Konstantinos Manolas,30,Greece,Defender
Henrikh Mkhitaryan,32,Armenia,Midfielder
Juan Guillermo Cuadrado Bello,33,Colombia,Midfielder
Joël Andre Job Matip,29,Cameroon,Defender
Sebastián Coates Nión,30,Uruguay,Defender
Francesco Acerbi,33,Italy,Defender
Allan Marques Loureiro,30,Brazil,Midfielder
Kevin Volland,28,Germany,Forward
Mauro Emanuel Icardi Rivero,28,Argentina,Substitute
Leonardo Spinazzola,28,Italy,Reserve
John Stones,27,England,Substitute
Raúl Alonso Jiménez Rodríguez,30,Mexico,Striker
Antonio Rüdiger,28,Germany,Defender
Lucas Ariel Ocampos,26,Argentina,Winger
Mateo Kovačić,27,Croatia,Substitute
Thomas Partey,28,Ghana,Midfielder
José Luís Gayà Peña,26,Spain,Defender
Thomas Lemar,25,France,Midfielder
Pierre-Emile Kordt Højbjerg,25,Denmark,Midfielder
Ángel Martín Correa,26,Argentina,Substitute
Duván Esteban Zapata Banguera,30,Colombia,Striker
Andrej Kramarić,30,Croatia,Midfielder
José Ángel Esmoris Tasende,24,Spain,Defender
Lucas François Bernard Hernández Pi,25,France,Substitute
Marco Asensio Willemsen,25,Spain,Substitute
Wout Weghorst,28,Netherlands,Striker
Robin Everardus Gosens,26,Germany,Midfielder
Mikel Merino Zazón,25,Spain,Midfielder
Presnel Kimpembe,25,France,Substitute
Ferland Mendy,26,France,Substitute
Aaron Wan-Bissaka,23,England,Defender
Ronaldo Jailson Cabrais Petri,29,Brazil,Midfielder
Arthur Henrique Ramos de Oliveira Melo,24,Brazil,Substitute
Gabriel Fernando de Jesus,24,Brazil,Substitute
Ousmane Dembélé,24,France,Winger
Mason Mount,22,England,Winger
Federico Santiago Valverde Dipetta,22,Uruguay,Substitute
Jules Koundé,22,France,Defender
João Félix Sequeira,21,Portugal,Substitute
Kléper Laveran de Lima Ferreira,38,Portugal,Defender
Raúl Albiol Tortajada,35,Spain,Defender
Ivan Rakitić,33,Croatia,Substitute
Gareth Frank Bale,31,Wales,Winger
Éver Maximiliano David Banega,33,Argentina,Midfielder
Yuri Berchiche Izeta,31,Spain,Substitute
Lars Edi Stindl,32,Germany,Midfielder
Oscar dos Santos Emboaba Júnior,29,Brazil,Midfielder
Philippe Coutinho Correia,29,Brazil,Substitute
Christian Dannemann Eriksen,29,Denmark,Reserve
Daley Blind,31,Netherlands,Defender
Mario Götze,29,Germany,Midfielder
Jesús Manuel Corona Ruíz,28,Mexico,Substitute
Alexandre Lacazette,30,France,Substitute
Idrissa Gana Gueye,31,Senegal,Midfielder
Mário Figueira Fernandes,30,Russia,Defender
Francisco Román Alarcón Suárez,29,Spain,Substitute
Wilfried Zaha,28,Côte d'Ivoire,Winger
Luis Fernando Muriel Fruto,30,Colombia,Substitute
José Ángel Gómez Campaña,28,Spain,Midfielder
Gabriel Armando de Abreu,30,Brazil,Defender
Jordan Veretout,28,France,Midfielder
Jesús Joaquín Fernández Sáez de la Torre,27,Spain,Winger
Thorgan Hazard,28,Belgium,Substitute
Juan Bernat Velasco,28,Spain,Defender
Cristian Portugués Manzanera,29,Spain,Substitute
Hakan Çalhanoğlu,27,Turkey,Midfielder
Emre Can,27,Germany,Substitute
Marten Elco de Roon,30,Netherlands,Midfielder
Alejandro Grimaldo García,25,Spain,Defender
Alessio Romagnoli,26,Italy,Substitute
Domenico Berardi,26,Italy,Midfielder
Nicolás Alejandro Tagliafico,28,Argentina,Substitute
Niklas Süle,25,Germany,Defender
Alex Nicolao Telles,28,Brazil,Substitute
Anderson Souza Conceição,27,Brazil,Midfielder
Rodrigo Javier De Paul,27,Argentina,Substitute
Rafael Alexandre Fernandes Ferreira da Silva,28,Portugal,Midfielder
Diego Carlos Santos Silva,28,Brazil,Defender
Ante Rebić,27,Croatia,Midfielder
Clément Nicolas Laurent Lenglet,26,France,Substitute
James Maddison,24,England,Midfielder
Manuel Locatelli,23,Italy,Midfielder
Martin Ødegaard,22,Norway,Midfielder
Rúben Diogo da Silva Neves,24,Portugal,Midfielder
Diogo José Teixeira da Silva,24,Portugal,Substitute
Joe Gomez,24,England,Substitute
Fabián Ruiz Peña,25,Spain,Midfielder
Christian Mate Pulisic,22,United States,Winger
João Maria Lobo Alves Palhinha Gonçalves,25,Portugal,Midfielder
Dayotchanculle Oswald Upamecano,22,France,Defender
Mario Hermoso Canseco,26,Spain,Defender
Leon Bailey Butler,23,Jamaica,Substitute
Ben Chilwell,24,England,Substitute
Josué Durval Chiamulera Vaz,29,Brazil,Defender
Richarlison de Andrade,24,Brazil,Midfielder
Denzel Justus Morris Dumfries,25,Netherlands,Substitute
Raphael Dias Belloli,24,Brazil,Midfielder
Alexander Isak,21,Sweden,Striker
Declan Rice,22,England,Midfielder
Alphonso Boyle Davies,20,Canada,Defender
Florian Christian Neuhaus,24,Germany,Midfielder
Youssef En-Nesyri,24,Morocco,Striker
Tanguy Ndombèlé Alvaro,24,France,Substitute
Tomáš Souček,26,Czech Republic,Midfielder
Éder Gabriel Militão,23,Brazil,Defender
Ferran Torres García,21,Spain,Striker
Pau Francisco Torres,24,Spain,Substitute
Daniel Olmo Carvajal,23,Spain,Substitute
Joaquín Sánchez Rodríguez,39,Spain,Midfielder
Burak Yılmaz,35,Turkey,Striker
Luís Carlos Almeida da Cunha,34,Portugal,Striker
André-Pierre Christian Gignac,35,France,Striker
Héctor Miguel Herrera López,31,Mexico,Substitute
Gonzalo Gerardo Higuaín,33,Argentina,Striker
José Miguel da Rocha Fonte,37,Portugal,Defender
Jan Vertonghen,34,Belgium,Defender
Lucas Pezzini Leiva,34,Brazil,Midfielder
Ivan Perišić,32,Croatia,Midfielder
Arturo Erasmo Vidal Pardo,34,Chile,Substitute
Max Bennet Kruse,33,Germany,Striker
Marko Arnautović,32,Austria,Striker
Marlos Romero Bonfim,33,Ukraine,Midfielder
Benjamin André,30,France,Midfielder
Nicolás Hernán Gonzalo Otamendi,33,Argentina,Defender
Thomas Joseph Delaney,29,Denmark,Substitute
Andy Delort,29,Algeria,Substitute
Kevin Kampl,30,Slovenia,Midfielder
Daniel William John Ings,28,England,Striker
Luís Miguel Afonso Fernandes,31,Portugal,Substitute
Jonathan Viera Ramos,31,Spain,Midfielder
James David Rodríguez Rubio,29,Colombia,Substitute
Danilo Luiz da Silva,29,Brazil,Defender
Sergio Roberto Carnicer,29,Spain,Substitute
Steven Berghuis,29,Netherlands,Substitute
Francisco Alcácer García,27,Spain,Striker
José Ignacio Fernández Iglesias,31,Spain,Defender
Danilo Luís Hélio Pereira,29,Portugal,Substitute
Lucas Rodrigues Moura da Silva,28,Brazil,Winger
James Tarkowski,28,England,Defender
Kurt Happy Zouma,26,France,Substitute
Íñigo Martínez Berridi,30,Spain,Defender
Vilmos Tamás Orban,28,Hungary,Defender
James Ward-Prowse,26,England,Midfielder
Edin Višća,31,Bosnia and Herzegovina,Midfielder
Maximilian Arnold,27,Germany,Midfielder
Leandro Daniel Paredes,27,Argentina,Substitute
Adnan Januzaj,26,Belgium,Winger
Emil Peter Forsberg,29,Sweden,Midfielder
Andrea Belotti,27,Italy,Striker
Lucas Vázquez Iglesias,30,Spain,Substitute
Frederico Rodrigues de Paula Santos,28,Brazil,Midfielder
Adrien Rabiot,26,France,Midfielder
Piotr Sebastian Zieliński,27,Poland,Midfielder
Otávio Edmilson da Silva Monteiro,26,Portugal,Midfielder
Darwin Daniel Machís Marcano,28,Venezuela,Midfielder
Anthony Martial,25,France,Substitute
Julian Brandt,25,Germany,Substitute
Iñaki Williams Arthuer,27,Spain,Striker
Matteo Politano,27,Italy,Winger
José Luis Morales Nogales,33,Spain,Striker
Djené Dakonam Ortega,29,Togo,Defender
Hans Hateboer,27,Netherlands,Reserve
Donny van de Beek,24,Netherlands,Substitute
Dominic Calvert-Lewin,24,England,Striker
Hirving Rodrigo Lozano Bahena,25,Mexico,Substitute
Kalvin Phillips,25,England,Midfielder
Gonçalo Manuel Ganchinho Guedes,24,Portugal,Striker
Konrad Laimer,24,Austria,Midfielder
Nicolas Pépé,26,Côte d'Ivoire,Midfielder
Nordi Mukiele Mulere,23,France,Defender
Giovani Lo Celso,25,Argentina,Substitute
Yeray Álvarez López,26,Spain,Defender
Lorenzo Pellegrini,25,Italy,Midfielder
Juan Everton Mestres de Mesquita,25,Brazil,Defender
Adryan Juliano Zonta Torres,29,Brazil,Defender
Rosberto J. Dourado Santos,21,Brazil,Midfielder
Lourival Adnan Beretta Barbosa,29,Brazil,Striker
Welington Kauê Dano Nascimento,21,Brazil,Defender
Marvin Oswaldo Rangel Azevedo,29,Brazil,Striker
Ruslan Malinovskyi,28,Ukraine,Forward
Christopher Nkunku,23,France,Midfielder
Lucas Tolentino Coelho de Lima,23,Brazil,Midfielder
Carlos Soler Barragán,24,Spain,Midfielder
Harvey Lewis Barnes,23,England,Midfielder
Houssem Aouar,23,France,Midfielder
Manuel Lazzari,27,Italy,Defender
Reece James,21,England,Defender
Marc Cucurella Saseta,22,Spain,Substitute
Pedro António Pereira Gonçalves,23,Portugal,Winger
Moussa Diaby,21,France,Midfielder
Sergio Reguilón Rodríguez,24,Spain,Defender
Edmond Fayçal Tapsoba,22,Burkina Faso,Defender
Dejan Kulusevski,21,Sweden,Substitute
Renan Augusto Lodi dos Santos,23,Brazil,Substitute
Pedro González López,18,Spain,Midfielder
João Filipe Iria Santos Moutinho,34,Portugal,Midfielder
Jonathan Grant Evans,33,Northern Ireland,Substitute
Raúl García Escudero,34,Spain,Striker
Marek Hamšík,33,Slovakia,Midfielder
Daniel Wass,32,Denmark,Midfielder
Marcelo Vieira da Silva Júnior,33,Brazil,Substitute
Dimitri Payet,34,France,Forward
Medhi Amine El Mouttaqi Benatia,34,Morocco,Defender
Ignacio Monreal Eraso,35,Spain,Defender
Radja Nainggolan,33,Belgium,Midfielder
Diego Roberto Godín Leal,35,Uruguay,Defender
Angelo Obinze Ogbonna,33,Italy,Defender
Alexis Alejandro Sánchez Sánchez,32,Chile,Substitute
José María Callejón Bueno,34,Spain,Winger
Aaron Ramsey,30,Wales,Substitute
Rafael Tolói,30,Italy,Defender
Francis Coquelin,30,France,Substitute
Eduardo Antonio Salvio,30,Argentina,Substitute
Roberto Maximiliano Pereyra,30,Argentina,Midfielder
Enzo Nicolás Pérez,35,Argentina,Midfielder
Marcelo Nicolás Lodeiro Benítez,32,Uruguay,Forward
Sérgio Miguel Relvas de Oliveira,29,Portugal,Midfielder
Marc Bartra Aregall,30,Spain,Defender
Cédric Bakambu,30,Congo DR,Striker
Charles Mariano Aránguiz Sandoval,32,Chile,Midfielder
João Pedro Geraldino dos Santos Galvão,29,Brazil,Striker
Ismaily Gonçalves dos Santos,31,Brazil,Defender
Aïssa Mandi,29,Algeria,Defender
Rafael Alcântara do Nascimento,28,Brazil,Substitute
Martin Hinteregger,28,Austria,Defender
Remo Marco Freuler,29,Switzerland,Midfielder
Julian Draxler,27,Germany,Substitute
Diego Demme,29,Germany,Reserve
Šime Vrsaljko,29,Croatia,Substitute
Alejandro Pozuelo Melero,29,Spain,Midfielder
Konstantinos Fortounis,28,Greece,Reserve
Eran Zahavi,33,Israel,Striker
Florian Tristan Mariano Thauvin,28,France,Midfielder
Samuel Yves Umtiti,27,France,Substitute
Téji Tedy Savanier,29,France,Midfielder
Sébastien Haller,27,Côte d'Ivoire,Striker
Zouhair Feddal Agharbi,31,Morocco,Defender
Michael Keane,28,England,Defender
Roger Martí Salvador,30,Spain,Striker
Josef Alexander Martínez Mencia,28,Venezuela,Striker
Quincy Anton Promes,29,Netherlands,Midfielder
Gaëtan Laborde,27,France,Substitute
Jonathan Castro Otto,27,Spain,Substitute
Bamidele Alli,25,England,Midfielder
Philipp Martin Max,27,Germany,Defender
João Mário Naval da Costa Eduardo,28,Portugal,Midfielder
Andreas Bødtker Christensen,25,Denmark,Defender
Ander Capa Rodríguez,29,Spain,Defender
Giovanni Di Lorenzo,27,Italy,Defender
Corentin Tolisso,26,France,Substitute
Adrián Embarba Blázquez,29,Spain,Midfielder
Jason Denayer,26,Belgium,Defender
Naby Keïta,26,Guinea,Substitute
Victor Jörgen Nilsson Lindelöf,26,Sweden,Substitute
Lukas Manuel Klostermann,25,Germany,Substitute
Éverton Sousa Soares,25,Brazil,Midfielder
Stefan Lainer,28,Austria,Substitute
Jonathan Javier Rodríguez Portillo,27,Uruguay,Striker
Borja Iglesias Quintas,28,Spain,Striker
Joan Jordán Moreno,26,Spain,Midfielder
Jonathan Bamba,25,France,Midfielder
Alejandro Berenguer Remiro,25,Spain,Midfielder
Steven Charles Bergwijn,23,Netherlands,Substitute
Kieran Tierney,24,Scotland,Defender
Ismaël Bennacer,23,Algeria,Substitute
Oleksandr Zinchenko,24,Ukraine,Substitute
Nélson Cabral Semedo,27,Portugal,Defender
Manuel Obafemi Akanji,25,Switzerland,Defender
Denis Lemi Zakaria Lako Lado,24,Switzerland,Substitute
Gianluca Mancini,25,Italy,Defender
Stefano Sensi,25,Italy,Substitute
Gerson Santos da Silva,24,Brazil,Midfielder
Maikel Renan Catarino Fagundes,25,Brazil,Defender
Laureano Thomas Santeiro Marre,21,Brazil,Midfielder
Tony Josimar Abranjes Meneses,33,Brazil,Defender
Renato Júnior Luz Sanches,23,Portugal,Midfielder
Donyell Malen,22,Netherlands,Striker
Çağlar Söyüncü,25,Turkey,Defender
Victor James Osimhen,22,Nigeria,Striker
Xaver Schlager,23,Austria,Midfielder
Noussair Mazraoui,23,Morocco,Defender
Boubacar Bernard Kamara,21,France,Midfielder
Scott McTominay,24,Scotland,Substitute
Alessandro Bastoni,22,Italy,Defender
Vinícius José Paixão de Oliveira Júnior,20,Brazil,Substitute
Maximiliano Gómez González,24,Uruguay,Striker
Ridle Bote Baku,23,Germany,Midfielder
Unai Núñez Gestoso,24,Spain,Substitute
Luis Fernando Díaz Marulanda,24,Colombia,Midfielder
Nikola Vlašić,23,Croatia,Substitute
Viktor Tsygankov,23,Ukraine,Midfielder
Vladimír Coufal,28,Czech Republic,Defender
Bukayo Saka,19,England,Midfielder
Andrés Iniesta Luján,37,Spain,Midfielder
James Philip Milner,35,England,Substitute
Franck Bilal Ribéry,38,France,Striker
Bafétimbi Fredius Gomis,35,France,Striker
Mousa Sidi Yaya Dembélé,33,Belgium,Midfielder
Blaise Matuidi,34,France,Midfielder
Antonio Candreva,34,Italy,Midfielder
Mesut Özil,32,Germany,Forward
Olivier Giroud,34,France,Striker
Gylfi Þór Sigurðsson,31,Iceland,Reserve
Ángel Montoro Sánchez,33,Spain,Substitute
Yann Gérard M'Vila,31,France,Midfielder
Rafael de Souza Pereira,32,Brazil,Midfielder
Matías Ezequiel Suárez,33,Argentina,Striker
Vicente Iborra de la Fuente,33,Spain,Substitute
Aaron Cresswell,31,England,Defender
Ben Mee,31,England,Defender
Asier Illarramendi Andonegi,31,Spain,Substitute
Michail Antonio,31,Jamaica,Striker
Stephan El Shaarawy,28,Italy,Substitute
Nemanja Matić,32,Serbia,Substitute
Ander Herrera Agüera,31,Spain,Substitute
高拉特,30,China PR,Midfielder
Christopher Grant Wood,29,New Zealand,Striker
艾克森,31,China PR,Striker
Marcos Alonso Mendoza,30,Spain,Defender
Mario Gaspar Pérez Martínez,30,Spain,Defender
Luis Miguel Rodríguez,36,Argentina,Forward
Nemanja Gudelj,29,Serbia,Substitute
Xherdan Shaqiri,29,Switzerland,Midfielder
Youssef El Arabi,34,Morocco,Striker
Callum Wilson,29,England,Striker
Germán Sánchez Barahona,34,Spain,Defender
Rodrigo Moreno Machado,30,Spain,Substitute
Alex Oxlade-Chamberlain,27,England,Substitute
Danilo D'Ambrosio,32,Italy,Substitute
Lucas Pérez Martínez,32,Spain,Striker
Granit Xhaka,28,Switzerland,Midfielder
Cristian Tello Herrera,29,Spain,Substitute
Geoffrey Edwin Kondogbia,28,Central African Republic,Midfielder
Conor Coady,28,England,Defender
Eric Dier,27,England,Defender
Gerard Deulofeu Lázaro,27,Spain,Forward
Sergi Darder Moll,27,Spain,Substitute
Willy-Arnaud Zobo Boly,30,Côte d'Ivoire,Substitute
Karim Bellarabi,31,Germany,Substitute
Álvaro González Soberón,31,Spain,Substitute
André Martín Carrillo Díaz,30,Peru,Midfielder
Davy Klaassen,28,Netherlands,Midfielder
Christoph Kramer,30,Germany,Midfielder
Raúl Mario Ruidíaz Misitich,30,Peru,Striker
Benjamin Mendy,26,France,Reserve
Benjamin Thomas Davies,28,Wales,Substitute
Taras Stepanenko,31,Ukraine,Midfielder
Alassane Alexandre Pléa,28,France,Striker
Manuel Trigueros Muñoz,29,Spain,Midfielder
Jesse Lingard,28,England,Substitute
Abdoulaye Doucouré,28,France,Midfielder
Berat Djimsiti,28,Albania,Defender
Christian Günter,28,Germany,Defender
Raúl De Tomás Gómez,26,Spain,Striker
Jonas Hofmann,28,Germany,Midfielder
Juan Fernando Quintero Paniagua,28,Colombia,Midfielder
Melingo Kevin Mbabu,26,Switzerland,Defender
Chancel Mbemba Mangulu,26,Congo DR,Defender
Rubén García Santos,27,Spain,Midfielder
Rubén Peña Jiménez,29,Spain,Substitute
Kerem Demirbay,27,Germany,Midfielder
Vincenzo Grifo,28,Italy,Midfielder
Paul Ebere Onuachu,27,Nigeria,Striker
Federico Bernardeschi,27,Italy,Substitute
Ricardo Jorge da Luz Horta,26,Portugal,Forward
Andrés Mateus Uribe Villa,30,Colombia,Midfielder
Armando Izzo,29,Italy,Defender
Davide Zappacosta,29,Italy,Midfielder
Allan Saint-Maximin,24,France,Striker
João Paulo Dias Fernandes,28,Portugal,Striker
Mahmoud Dahoud,25,Germany,Midfielder
Hamari Traoré,29,Mali,Defender
Munir El Haddadi Mohamed,25,Morocco,Substitute
Yerry Fernando Mina González,26,Colombia,Substitute
Renato Fabrizio Tapia Cortijo,25,Peru,Midfielder
Davinson Sánchez Mina,25,Colombia,Defender
Nico Elvedi,24,Switzerland,Defender
Julian Weigl,25,Germany,Substitute
Timothy Castagne,25,Belgium,Substitute
Jaime Mata Arnaiz,32,Spain,Substitute
Ruben Aguilar,28,France,Substitute
Adam Marušić,28,Montenegro,Substitute
Ramy Bensebaini,26,Algeria,Defender
Mehmet Zeki Çelik,24,Turkey,Defender
Eric Bertrand Bailly,27,Côte d'Ivoire,Substitute
Aleksandr Golovin,25,Russia,Forward
Emiliano Buendía,24,Argentina,Winger
Aritz Elustondo Irribaria,27,Spain,Defender
Pablo Fornals Malla,25,Spain,Midfielder
Benjamin Pavard,25,France,Defender
Marcus Lilian Thuram-Ulien,23,France,Midfielder
Luis Ezequiel Ávila,27,Argentina,Substitute
Kasper Dolberg Rasmussen,23,Denmark,Striker
Ronaldo Diego Esler Domingues,21,Brazil,Defender
Adnan Claudiano Vidual Machado,29,Brazil,Defender
Everton Jorge Andrade Zanon,25,Brazil,Midfielder
Melvin Luan Parrela Porfírio,21,Brazil,Midfielder
Luan Vágner Boas Macedo,21,Brazil,Striker
Luka Jović,23,Serbia,Substitute
Gabriel dos Santos Magalhães,23,Brazil,Defender
Mauro Wilney Arambarri Rosa,25,Uruguay,Midfielder
鎌田 大地,24,Japan,Midfielder
Fikayo Tomori,23,England,Defender
Igor Zubeldía Elorza,24,Spain,Substitute
Patrik Schick,25,Czech Republic,Striker
Nanitamo Jonathan Ikoné,23,France,Midfielder
Lucas Veríssimo da Silva,25,Brazil,Defender
Yves Bissouma,24,Mali,Midfielder
Marcos Nicolás Senesi Barón,24,Argentina,Defender
Owen Wijndal,21,Netherlands,Defender
David Neres Campos,24,Brazil,Substitute
Enis Bardhi,25,North Macedonia,Midfielder
Pervis Josué Estupiñán Tenorio,23,Ecuador,Substitute
Lisandro Martínez,23,Argentina,Defender
Nemanja Maksimović,26,Serbia,Midfielder
Matheus Santos Carneiro Da Cunha,22,Brazil,Substitute
Teun Koopmeiners,23,Netherlands,Substitute
Aurélien Tchouaméni,21,France,Midfielder
Mehdi Taremi,28,Iran,Striker
Cody Mathès Gakpo,22,Netherlands,Midfielder
Rodrygo Silva de Goes,20,Brazil,Substitute
Maxence Lacroix,21,France,Defender
Emerson Aparecido Leite de Souza Junior,22,Brazil,Defender
Bruno Guimarães Rodriguez Moura,23,Brazil,Midfielder
Sven Botman,21,Netherlands,Defender
Jude Victor William Bellingham,18,England,Midfielder
Antony Matheus dos Santos,21,Brazil,Winger
Álvaro Negredo Sánchez,35,Spain,Striker
Ashley Young,35,England,Substitute
Fabio Quagliarella,38,Italy,Striker
Laurent Koscielny,35,France,Defender
Radamel Falcao García Zárate,35,Colombia,Striker
Erik Lamela,29,Argentina,Substitute
José Andrés Guardado Hernández,34,Mexico,Midfielder
Victor Moses,30,Nigeria,Midfielder
Cristian Daniel Ansaldi,34,Argentina,Midfielder
Kevin-Prince Boateng,34,Ghana,Midfielder
Felipe Salvador Caicedo Corozo,32,Ecuador,Substitute
Pedro León Sánchez Gil,34,Spain,Midfielder
Ángel Luís Rodríguez Díaz,34,Spain,Striker
Miguel Luís Pinto Veloso,35,Portugal,Midfielder
Juan Manuel Mata García,33,Spain,Substitute
Etienne Capoue,32,France,Substitute
Javier Hernández Balcázar,33,Mexico,Striker
Papa Kouly Diop,35,Senegal,Substitute
Ruud Willem Vormer,33,Netherlands,Midfielder
Séamus Coleman,32,Republic of Ireland,Defender
Marcelo Antônio Guedes Filho,34,Brazil,Reserve
Moussa Sissoko,31,France,Midfielder
Matteo Darmian,31,Italy,Midfielder
Aleksandar Kolarov,35,Serbia,Reserve
Gaël Kakuta,30,Congo DR,Midfielder
Cheikhou Kouyaté,31,Senegal,Midfielder
Steven N'Kemboanza Mike Christopher Nzonzi,32,France,Reserve
Ante Budimir,29,Croatia,Substitute
